depa,year,MED,MEDTASA,ENF,EFNTASA,OBST,ODON,HOSPN,HOSPTASA,CENTRON,PUESTON,CAMAN,CAMATASA,CAMATASA2,CONSLTASA,EGRESTASA,EGRESTASA2,PARTOSSPORC,ATPRENPORC,ATPARTOPORC,DPT,OPV,BCG,ASO,ACMODPARADOLES,ACMODPARADULT,ACNATPARADOLES,ACNATPARADULT,ACTRAD,ACMOD,ACTOTAL,SEGUROPORC,SISAFILIACN,SISFILIAPORC,SISATENCN,GENEROAFP,COMSALUDN,ESCSALUDN,BUSQAYUDAVIOLEN,GESTFESO4
Ica,2008,697,9.4,698,9.4,168,129,10,0.13,38,106,781,,,1.1,75.4,,95,,,78.7,76.2,97.2,72.9,,,,,20.97369358,54.34407593,76.43312724,,125688,16.9,287083,,0,262,,3.076861191
Ica,2009,733,9.9,674,9.1,200,162,13,0.18,73,97,1035,,,2.1,70.5,,95.9,,97.2,64.4,65.4,100,60.2,,,,,20.3,55.5,75.8,,144654,19.6,289232,,22,282,,80.3
Ica,2010,767,10.2,685,9.1,215,160,17,0.23,73,101,1413,,,2,111.9,,97.1,,98,73,76.8,92.1,73.7,,,,,56.60090783,22.37946646,,,169944,22.5,328632,,,,,
Ica,2011,767,10,685,9,215,160,17,0.22,73,101,1413,,,2,111.9,,99.6,,99.7,76.7,80.2,94.8,91.2,59.9,18.8,,,,,,,164346,21.5,313571,,,,,
Ica,2012,811,10.5,766,9.9,245,153,22,0.29,92,102,1421,,,2.2,72.5,,98.7,,87.6,77,86.6,95.5,86.5,58.8,20.6,,,,,,,173481,22.5,316412,,,,,
Junin,2001,699,5.8,912,7.4,,0.8,30,0.26,67,366,2029,1.8,17.9,1.9,40.7,407.1,46,78.2,54,97.4,91.2,85.9,100,,,,,,43.5,74.5,,,,,,,,,
Junin,2002,723,5.8,923,7.4,,0.8,30,0.26,67,366,2029,1.79,17.9,1.9,40.7,407.1,46,78.2,54,87.4,88,90.5,103.4,,,,,,43.5,74.5,,,,,,,,,
Junin,2003,480,3.8,855,6.8,232,94,12,0.1,69,392,1253,,,0.4,23.3,,46,78.2,54,94,93,94.1,97.5,,,,,,43.5,74.5,38.3,,,,43.4,,,13.5,
Junin,2004,481,3.8,991,7.8,255,93,12,0.09,68,390,1350,,,0.3,23.9,,46,78.2,54,95,95.1,98.1,95.5,,,,,,43.5,74.5,31.4,430483,33.8,627569,43.4,,,13.5,
Junin,2005,444,3.4,773,6,214,89,11,0.09,56,414,1346,,,0.7,34.5,,46,78.2,54,91,90.8,91.2,88.9,,,,,,43.5,74.5,31.37528031,430483,33.4,627569,43.4,,,,
Junin,2006,444,4.1,773,7.1,214,89,11,0.1,56,414,1346,,,0.7,34.5,,75.8,,,91.3,86.2,93,71.3,1.34998434,6.966142579,0.715671698,1.955019247,,,,,504465,46.2,600735,43.4,52,233,,13.56542935
Junin,2007,444,40.5,773,70.5,214,89,11,1,56,414,1346,,,0.7,34.5,,75.8,,,100,98.2,87.7,100,,,,,23.5,48.8,72.7,,494540,451.1,694573,43.4,52,233,,13.6
Junin,2008,501,3.9,859,6.6,214,89,12,0.09,53,392,1063,,,0.7,35.9,,68,,,98.5,100,100,89.1,,,,,23.84969082,48.86461548,73.09857038,,403739,31.1,909977,,11,357,,1.49850709
Junin,2009,649,5,986,7.6,341,100,18,0.14,91,405,1138,,,0.9,43,,71.1,,66.5,71,71.1,83.4,69.3,,,,,24.1,44.9,69,,439580,34,969323,,0,348,,65.3
Junin,2010,667,5.1,1103,8.4,394,113,26,0.2,61,469,1713,,,1.1,43.5,,71.6,,72.7,75.3,80.8,88.5,85.3,,,,,48.03024882,26.78067537,,,452869,34.5,1064381,,,,,
Junin,2011,667,5,1103,8.3,394,113,26,0.2,61,469,1713,,,1.1,43.5,,81,,80.4,85.6,85.9,94.2,98.7,49.5,26.5,,,,,,,489608,37.1,802466,,,,,
Junin,2012,746,5.6,1269,9.5,503,124,29,0.22,109,440,1799,,,1.2,42.6,,83.2,,80.7,83.2,79.8,92.5,87.1,47.6,26.3,,,,,,,439457,33,753525,,,,,
La Libertad,2001,1238,8.3,831,5.6,,0.5,29,0.2,77,187,2309,1.7,16.9,2.2,55.5,555.4,51.6,77,51.5,95.3,79.3,82.4,91.5,,,,,,46.7,68.3,,,,,,,,,
La Libertad,2002,1250,8.3,843,5.6,,0.5,29,0.2,77,187,2309,1.69,16.9,2.2,55.5,555.4,51.6,77,51.5,77.1,75.1,84.2,85.9,,,,,,46.7,68.3,,,,,,,,,
La Libertad,2003,941,6.2,818,5.4,251,59,12,0.08,68,150,1133,,,0.7,17.6,,51.6,77,51.5,93,93.2,95.5,100,,,,,,46.7,68.3,36.8,,,,46.7,,,20.6,
La Libertad,2004,933,6,957,6.2,273,63,13,0.08,72,157,1433,,,0.8,18.2,,51.6,77,51.5,96.5,96.3,95.4,99.2,,,,,,46.7,68.3,35.2,487349,31.4,632222,46.7,,,20.6,
La Libertad,2005,943,6,790,5,276,60,13,0.08,52,168,1433,,,1.2,33.4,,51.6,77,51.5,94.8,88.1,92.6,92.7,,,,,,46.7,68.3,35.24585774,487349,31,632222,46.7,,,,
La Libertad,2006,943,6.1,790,5.1,276,60,13,0.08,52,168,1433,,,1.2,33.4,,65.2,,,71.3,74.5,76.9,73.1,1.143626379,7.954256425,0.195499533,0.598077142,,,,,573312,37.2,745666,46.7,14,268,,25.4020552
La Libertad,2007,943,6.1,790,5.1,276,60,13,0.08,52,168,1433,,,1.2,33.4,,65.2,,,93.6,99.4,76.9,100,,,,,26.4,43.7,70.7,,537032,34.9,781333,46.7,14,268,,25.4
La Libertad,2008,1030,6.1,810,4.8,277,60,12,0.07,51,186,1127,,,1.1,35.4,,66.4,,,93.5,92.6,99.8,89.7,,,,,29.31411441,42.91245929,72.976936,,723080,42.6,1462464,,29,367,,11.55187453
La Libertad,2009,1230,7.1,1184,6.9,383,92,37,0.21,103,197,1766,,,1.8,41.1,,73.1,,72.9,62.3,60.5,96.5,55.6,,,,,21,45.7,66.7,,875589,50.8,1384565,,37,25,,58.6
La Libertad,2010,1263,7.1,1345,7.6,432,111,46,0.26,109,200,2380,,,1.8,41.2,,80.5,,81.6,75.9,75.2,84.4,86.7,,,,,50.10698777,22.77861917,,,844268,47.7,1638939,,,,,
La Libertad,2011,1263,7,1345,7.5,432,111,46,0.26,109,200,2380,,,1.8,41.2,,75,,75.6,78.3,82,92.7,78.9,47.4,24.6,,,,,,,803239,44.8,1530886,,,,,
La Libertad,2012,1422,7.8,1491,8.2,634,128,59,0.33,147,200,2476,,,1.7,42,,80.9,,85.7,88.2,94,93.5,90.4,51,24.5,,,,,,,674130,37.2,1626633,,,,,
Lambayeque,2001,869,7.8,699,6.3,,0.5,34,0.32,48,95,1005,1,10,2.2,31.9,319.3,57.4,81.2,61.2,88.1,81.3,84.1,82.4,,,,,,50.8,65.6,,,,,,,,,
Lambayeque,2002,875,7.8,706,6.3,,0.5,34,0.32,48,95,1005,1,10,2.1,31.9,319.3,57.4,81.2,61.2,84.8,84.8,85.8,90.4,,,,,,50.8,65.6,,,,,,,,,
Lambayeque,2003,668,5.9,667,5.9,114,45,7,0.06,61,109,935,,,0.4,11.6,,57.4,81.2,61.2,85.7,85.7,90.3,85.7,,,,,,50.8,65.6,41.8,,,,47.7,,,26.3,
Lambayeque,2004,668,5.9,3919,34.3,406,194,5,0.04,56,109,913,,,0.7,11.3,,57.4,81.2,61.2,84.3,85.9,85.2,90.1,,,,,,50.8,65.6,42.4,355223,31.1,572314,47.7,,,26.3,
Lambayeque,2005,781,6.8,722,6.3,236,58,13,0.11,59,111,970,,,1.3,37.2,,57.4,81.2,61.2,84.4,85.2,95.4,85.8,,,,,,50.8,65.6,42.37524524,355223,30.9,572314,47.7,,,,
Lambayeque,2006,781,7.2,722,6.6,236,58,13,0.12,59,111,970,,,1.3,37.2,,64.2,,,85.8,83.3,94,77.5,0.76794242,6.191195027,0.040565996,0.18861104,,,,,436108,40,670365,47.7,9,78,,17.03123537
Lambayeque,2007,781,7.2,722,6.6,236,58,13,0.12,59,111,970,,,1.3,37.2,,64.2,,,97.1,93.9,94,97.3,,,,,23.5,47.2,71.2,,407714,37.4,795030,47.7,9,78,,17
Lambayeque,2008,750,6.4,850,7.3,237,58,7,0.06,51,126,1166,,,1.2,36.8,,79.7,,,97.2,96.8,100,89.1,,,,,24.75282285,48.19086247,73.30578424,,471865,40.5,1166380,,5,78,,15.10301058
Lambayeque,2009,881,7.4,920,7.7,326,80,22,0.18,64,137,1190,,,1.7,43.5,,90.5,,88.3,70.7,70.7,76.9,69.4,,,,,22.6,52.1,74.7,,549757,45.9,1119609,,9,154,,79.2
Lambayeque,2010,938,7.7,1046,8.6,396,84,27,0.22,81,143,1378,,,1.7,45.9,,82.8,,85.9,76.7,81.9,100,89.8,,,,,51.69366335,21.07669238,,,528768,43.4,1124467,,,,,
Lambayeque,2011,938,7.6,1046,8.5,396,84,27,0.22,81,143,1378,,,1.7,45.9,,88.4,,88.3,78.1,79,94.2,82.4,53.5,24.9,,,,,,,486735,39.6,839876,,,,,
Lambayeque,2012,1005,8.1,1155,9.3,430,101,37,0.3,123,146,1526,,,1.8,49,,87.7,,88.1,88.5,90.3,82.9,85.3,51.4,25,,,,,,,400296,32.3,747955,,,,,
Lima,2001,14381,18.9,6932,9.1,,1.6,164,0.22,554,426,16648,2.4,24,2.6,64.1,641.4,89.5,94.8,91.1,100,100,100,99,,,,,,58.1,72.9,,,,,,,,,
Lima,2002,14645,18.9,7051,9.1,,1.6,164,0.22,554,426,16648,2.4,24,2.5,64.1,641.4,89.5,94.8,91.1,102.7,103.9,98.6,101.6,,,,,,58.1,72.9,,,,,,,,,
Lima,2003,9514,12.1,7343,9.3,1631,784,42,0.05,235,441,9868,,,0.8,30.2,,89.5,94.8,91.1,100,100,100,100,,,,,,58.1,72.9,47.7,,,,59.9,,,18.1,
Lima,2004,9417,11.8,3680,4.6,1283,618,41,0.05,237,440,10292,,,0.9,33.1,,89.5,94.8,91.1,97.5,97.6,97.5,78.4,,,,,,58.1,72.9,40.5,1466848,18.3,2515941,59.9,,,18.1,
Lima,2005,8789,10.8,6681,8.2,1591,735,33,0.04,210,434,10307,,,1.3,52.4,,89.5,94.8,91.1,95.4,95.8,97.1,93.5,,,,,,58.1,72.9,40.48983267,1466848,18,2515941,59.9,,,,
Lima,2006,8789,11.2,6681,8.5,1591,735,33,0.04,210,434,10307,,,1.3,52.4,,83.9,,,83.9,95.4,100,65.4,0.791394008,5.441697323,0.093861106,0.317474606,,,,,1622332,20.7,2109581,59.9,35,649,,8.028149016
Lima,2007,8789,11.2,6681,8.5,1591,735,33,0.04,210,434,10307,,,1.3,52.4,,83.9,,,94.1,92.3,98.9,100,,,,,18.3,55,73.6,,1498068,19.2,2116082,59.9,35,649,,8
Lima,2008,7209,8.2,6529,7.5,1585,722,40,0.05,241,418,9628,,,1,46.1,,94.4,,,100,98.8,100,88.8,,,,,18.73256693,54.58891332,73.78624785,,1269588,14.5,2812784,,7,614,,20.58197497
Lima,2009,10637,11.8,9894,11,2061,954,158,0.18,574,462,16702,,,1.7,53.3,,96.6,,97.4,67.3,66.7,73,65.7,,,,,18.5,57.6,76.2,,1463382,16.3,2548272,,20,167,,84.9
Lima,2010,11798,12.8,10458,11.3,2248,990,192,0.21,593,489,17537,,,1.8,56,,97.7,,97.9,67.9,68.1,92.4,77.4,,,,,57.40651017,19.06511241,,,1673193,18.1,3186101,,,,,
Lima,2011,11798,12.6,10458,11.1,2248,990,192,0.2,593,489,17537,,,1.8,56,,98,,97.3,82.7,86.3,99.1,87.4,58.4,18.8,,,,,,,1677973,17.9,2840646,,,,,
Lima,2012,12733,13.3,11632,12.2,2368,1196,221,0.23,739,475,17817,,,1.9,52.3,,97.1,,91,82,83.5,98.3,88.9,58.5,17.9,,,,,,,1750958,18.4,3803366,,,,,
Loreto,2001,378,4.2,197,2.2,,0.6,11,0.13,54,239,1570,2,19.7,2.2,35.2,352,39.6,62.8,38.2,90.8,89,69.6,89.6,,,,,,48.3,63.1,,,,,,,,,
Loreto,2002,381,4.2,200,2.2,,0.6,11,0.13,54,239,1570,1.97,19.7,2.2,35.2,352,39.6,62.8,38.2,80.3,79.5,76.7,91.9,,,,,,48.3,63.1,,,,,,,,,
Loreto,2003,215,2.3,215,2.3,81,32,4,0.04,56,268,765,,,0.8,23.7,,39.6,62.8,38.2,81.1,79.9,86.4,90.4,,,,,,48.3,63.1,45,,,,46.5,,,12.7,
Loreto,2004,217,2.3,156,1.7,72,28,4,0.04,57,272,765,,,0.7,26.7,,39.6,62.8,38.2,94.3,94,96,96.1,,,,,,48.3,63.1,44.9,495706,53.2,674271,46.5,,,12.7,
Loreto,2005,274,2.9,213,2.3,81,33,4,0.04,52,279,771,,,1.1,31.9,,39.6,62.8,38.2,92.8,92.2,90.4,103.7,,,,,,48.3,63.1,44.92262988,495706,52.5,674271,46.5,,,,
Loreto,2006,274,3.1,213,2.4,81,33,4,0.05,52,279,771,,,1.1,31.9,,73.8,,,87.3,81.1,82.8,73.2,2.378166348,9.961047205,0.259134859,0.750743208,,,,,635966,71.9,981309,46.5,8,91,,26.61904108
Loreto,2007,274,3.1,213,2.4,81,33,4,0.05,52,279,771,,,1.1,31.9,,73.8,,,97.4,93.3,82.8,96.5,,,,,17.1,39.8,62.3,,619864,70.1,1260373,46.5,8,91,,26.6
Loreto,2008,334,3.6,421,4.5,80,33,4,0.04,53,286,662,,,0.5,41.2,,47.1,,,67.1,66,82.6,73.7,,,,,16.61233957,39.21646016,60.96931202,,688044,73.1,2617918,,3,61,,14.91783561
Loreto,2009,403,4.2,484,5,236,63,11,0.11,60,304,828,,,1.4,43.5,,58.2,,50.8,62.4,62.1,97.5,67.1,,,,,22.6,44.5,67.1,,860001,88.6,3057634,,6,23,,76.2
Loreto,2010,380,3.8,541,5.4,239,68,10,0.1,68,317,1100,,,1.4,38.1,,45.6,,53.1,70.5,73.3,71.5,81,,,,,45.68860014,18.65407706,,,853726,85.8,2300324,,,,,
Loreto,2011,380,3.8,541,5.4,239,68,10,0.1,68,317,1100,,,1.4,38.1,,47.8,,56.3,79.6,86,80.1,87.7,46.3,16.9,,,,,,,839187,83.3,1802381,,,,,
Loreto,2012,455,4.5,626,6.1,322,100,15,0.15,88,347,1079,,,1.4,39.9,,62,,86.7,81.4,82.7,80.3,87.4,45.3,22.7,,,,,,,704995,69.2,1733627,,,,,
Madre de Dios,2001,86,9.9,87,9,,2.4,4,0.49,8,82,207,2.8,27.9,4.3,69.3,693.2,74.9,87.7,75.7,76.5,69.2,74,58.2,,,,,,54.5,66.9,,,,,,,,,
Madre de Dios,2002,98,9.9,90,9,,2.4,4,0.49,8,82,207,2.79,27.9,4.2,69.3,693.2,74.9,87.7,75.7,93.8,87.3,85.2,87.6,,,,,,54.5,66.9,,,,,,,,,
Madre de Dios,2003,78,7.6,88,8.6,44,16,3,0.29,15,99,193,,,0.9,46.6,,74.9,87.7,75.7,92.6,94.2,89.9,89.8,,,,,,54.5,66.9,46.3,,,,51.4,,,28.3,
Madre de Dios,2004,79,7.5,124,11.8,55,22,3,0.29,16,99,201,,,1.4,47.5,,74.9,87.7,75.7,96.5,96.5,90.2,98.6,,,,,,54.5,66.9,40.2,38598,36.8,51456,51.4,,,28.3,
Madre de Dios,2005,75,7,83,7.7,51,17,3,0.28,12,99,200,,,1.9,74.1,,74.9,87.7,75.7,141.7,139.8,85.8,79.8,,,,,,54.5,66.9,40.18490375,38598,35.9,51456,51.4,,,,
Madre de Dios,2006,75,8.2,83,9,51,17,3,0.33,12,99,200,,,1.9,74.1,,96.1,,,97.3,86,94.6,61.5,2.28493973,12.30990007,0.377595972,0.092753014,,,,,47151,51.2,57204,51.4,8,20,,6.991869919
Madre de Dios,2007,75,8.2,83,9,51,17,3,0.33,12,99,200,,,1.9,74.1,,96.1,,,100,100,94.6,97.4,,,,,16.3,51.8,70.1,,45601,49.6,69277,51.4,8,20,,7
Madre de Dios,2008,89,7.7,98,8.5,48,15,3,0.26,12,103,166,,,1.4,85,,84.2,,,100,100,100,98.9,,,,,16.67232088,51.56107455,70.16304405,,40836,35.5,83997,,5,50,,4.282236459
Madre de Dios,2009,104,8.8,108,9.2,64,22,3,0.25,18,98,148,,,1.4,82.4,,89,,88.8,82.2,83.1,85,80,,,,,20.9,49.9,70.9,,41522,35.2,60017,,11,79,,68.6
Madre de Dios,2010,121,9.7,153,12.3,79,31,4,0.32,20,110,247,,,1.7,88.3,,86,,86.4,68.3,70.7,85.4,77.9,,,,,50.10871915,26.32969899,,,49807,40,99308,,,,,
Madre de Dios,2011,121,9.5,153,12,79,31,4,0.31,20,110,247,,,1.7,88.3,,90.9,,90.5,67.2,76.5,93.9,79.3,55.5,16.1,,,,,,,47440,37.2,81971,,,,,
Madre de Dios,2012,156,11.9,180,13.8,108,44,5,0.38,19,98,227,,,1.9,90.1,,91.2,,79.9,72.6,75.6,96.5,83.3,54.9,16.9,,,,,,,43125,33,69433,,,,,
Moquegua,2001,174,11.6,229,14.9,,3.3,5,0.34,28,34,420,3,30.5,4.3,55.9,558.6,83.6,94.7,86.6,73.3,73.3,65.3,99.1,,,,,,60.3,75.8,,,,,,,,,
Moquegua,2002,182,11.6,234,14.9,,3.3,5,0.34,28,34,420,3.05,30.5,4.3,55.9,558.6,83.6,94.7,86.6,100.6,102.4,87.5,126.8,,,,,,60.3,75.8,,,,,,,,,
Moquegua,2003,137,8.6,197,12.3,81,48,3,0.19,26,32,175,,,0.9,26.1,,83.6,94.7,86.6,97.1,97.3,94.3,95.6,,,,,,60.3,75.8,49.4,,,,42.6,,,25.3,
Moquegua,2004,139,8.5,253,15.4,81,50,3,0.18,27,33,221,,,1.2,29.4,,83.6,94.7,86.6,95.2,95.2,94,93.4,,,,,,60.3,75.8,45.7,43036,26.3,78488,42.6,,,25.3,
Moquegua,2005,169,10.1,216,12.9,104,52,3,0.18,25,34,221,,,1.8,73.8,,83.6,94.7,86.6,89.7,89.9,46.6,55,,,,,,60.3,75.8,45.73062656,43036,25.7,78488,42.6,,,,
Moquegua,2006,169,10.6,216,13.6,104,52,3,0.19,25,34,221,,,1.8,73.8,,72,,,90.6,89.5,90.3,91.4,1.165764587,16.06954911,0.005947779,1.241948385,,,,,46303,29.1,65331,42.6,4,91,,11.65879575
Moquegua,2007,169,10.6,216,13.6,104,52,3,0.19,25,34,221,,,1.8,73.8,,72,,,100,100,90.3,100,,,,,18.7,57.3,76.5,,39515,24.8,65044,42.6,4,91,,11.7
Moquegua,2008,176,10.4,216,12.8,105,52,3,0.18,25,34,119,,,1.9,44.6,,92,,,100,100,100,100,,,,,19.05918161,58.1754589,77.60409006,,36583,21.7,105348,,0,113,,7.334114877
Moquegua,2009,204,12,272,16.1,115,56,5,0.3,30,34,170,,,2.6,60.4,,95.8,,96.5,70.8,71.8,71.3,68.2,,,,,21.1,52.2,73.3,,35723,21.1,105485,,8,231,,68
Moquegua,2010,177,10.2,256,14.8,108,53,6,0.35,24,41,317,,,2.6,60.4,,95,,93.1,70.3,80.4,96.6,89.7,,,,,61.51131498,17.16347393,,,40375,23.3,112698,,,,,
Moquegua,2011,177,10.1,256,14.6,108,53,6,0.34,24,41,317,,,2.6,60.4,,95.3,,93,94.8,97.5,97.1,92.8,57,19.4,,,,,,,35371,20.2,113228,,,,,
Moquegua,2012,203,11.5,292,16.5,128,62,6,0.34,32,36,368,,,2.9,58.6,,96,,73.5,87,93.3,97.7,90.9,54.5,19.8,,,,,,,31622,17.9,104875,,,,,
Pasco,2001,142,5.7,218,8.4,,0.9,8,0.32,16,231,560,2.3,23,3.3,40.2,402.2,50.7,72.8,56.7,100,100,81.5,100,,,,,,50.4,70.9,,,,,,,,,
Pasco,2002,151,5.7,222,8.4,,0.9,8,0.32,16,231,560,2.3,23,3.3,40.2,402.2,50.7,72.8,56.7,95.8,92.8,79.8,84.8,,,,,,50.4,70.9,,,,,,,,,
Pasco,2003,149,5.5,201,7.4,81,27,6,0.22,28,235,622,,,0.6,19.1,,50.7,72.8,56.7,93.7,96.5,90,99,,,,,,50.4,70.9,52.7,,,,36.7,,,19.7,
Pasco,2004,153,5.5,388,14,125,31,6,0.22,24,237,582,,,0.6,19.5,,50.7,72.8,56.7,100,100,100,93.2,,,,,,50.4,70.9,46.3,144306,52,181125,36.7,,,19.7,
Pasco,2005,141,5,188,6.6,76,23,6,0.21,16,233,583,,,1.3,39.4,,50.7,72.8,56.7,94.6,94.8,95.4,90.4,,,,,,50.4,70.9,46.34001985,144306,50.9,181125,36.7,,,,
Pasco,2006,141,5.3,188,7,76,23,6,0.22,16,233,583,,,1.3,39.4,,67,,,99.4,99.1,97.7,84.6,1.941377393,27.79549739,0.163634919,0.639339445,,,,,160309,60.1,193482,36.7,17,35,,15.58441558
Pasco,2007,141,5.3,188,7,76,23,6,0.22,16,233,583,,,1.3,39.4,,67,,,100,100,97.7,100,,,,,19.1,57.4,79,,149299,56,203334,36.7,17,35,,15.6
Pasco,2008,116,3.9,184,6.2,77,23,6,0.2,20,231,278,,,1.1,49.5,,68.4,,,100,99.4,100,98.5,,,,,18.43179455,59.00186405,79.375496,,94175,31.8,315206,,3,204,,0.570595761
Pasco,2009,202,7,252,8.7,115,45,9,0.31,40,226,316,,,1.4,53.8,,77.9,,71.7,63,63.4,63.4,65.3,,,,,16,57.3,73.3,,109229,37.6,321513,,28,213,,67.7
Pasco,2010,207,7,345,11.7,166,49,7,0.24,34,253,658,,,1.7,54.6,,78.4,,82.4,71.2,75.5,85.8,84.8,,,,,56.68026865,18.42305379,,,123178,41.7,368138,,,,,
Pasco,2011,207,7,345,11.6,166,49,7,0.24,34,253,658,,,1.7,54.6,,83,,86.5,87.7,92.2,95.7,94,56,20.7,,,,,,,124393,41.8,317648,,,,,
Pasco,2012,276,9.2,342,11.4,186,60,8,0.27,39,235,627,,,1.9,55.8,,87.8,,85.3,80.8,78.1,94.5,90.4,57.4,16.1,,,,,,,121495,40.5,258631,,,,,
Piura,2001,1002,6.4,532,3.3,,0.7,23,0.15,85,324,1795,1.2,12.2,2.6,32.6,325.7,63.4,83.1,66.2,96.3,96,91.6,99,,,,,,57,68.9,,,,,,,,,
Piura,2002,1047,6.4,540,3.3,,0.7,23,0.15,85,324,1795,1.22,12.2,2.6,32.6,325.7,63.4,83.1,66.2,88.1,89.9,88.9,92.1,,,,,,57,68.9,,,,,,,,,
Piura,2003,596,3.6,568,3.4,336,62,9,0.05,86,307,1238,,,0.7,9.9,,63.4,83.1,66.2,100,99.4,96.4,97.6,,,,,,57,68.9,42.1,,,,48.9,,,25.6,
Piura,2004,601,3.6,421,2.5,312,76,9,0.05,86,309,1116,,,0.8,9.2,,63.4,83.1,66.2,88.7,89.1,92.4,93.2,,,,,,57,68.9,36.6,626498,37.2,1001865,48.9,,,25.6,
Piura,2005,639,3.7,543,3.2,330,60,9,0.05,75,318,1122,,,1.1,22.4,,63.4,83.1,66.2,97,101.2,98.1,89.6,,,,,,57,68.9,36.58506147,626498,36.6,1001865,48.9,,,,
Piura,2006,639,3.9,543,3.3,330,60,9,0.06,75,318,1122,,,1.1,22.4,,47.9,,,82.9,83.4,93.7,64.4,1.532974428,5.36986875,0.23230148,0.452360425,,,,,744364,45.6,1083605,48.9,20,89,,18.59372715
Piura,2007,639,3.9,543,3.3,330,60,9,0.06,75,318,1122,,,1.1,22.4,,47.9,,,100,100,92.2,92.9,,,,,16.9,52.7,70.4,,703171,43.1,1208476,48.9,20,89,,18.6
Piura,2008,602,3.4,541,3.1,331,59,9,0.05,76,319,615,,,1.2,30.7,,75.6,,,92.2,92.1,100,89.6,,,,,17.78925286,54.29285984,72.66258842,,755106,42.9,1692981,,5,135,,14.27392995
Piura,2009,878,5,789,4.5,420,105,25,0.14,113,320,1206,,,1.1,32.4,,82.4,,84.2,75.3,75.1,79.4,75.4,,,,,21.1,52.7,73.8,,931776,53.1,1588043,,12,270,,84.5
Piura,2010,881,4.9,871,4.9,489,108,28,0.16,122,324,1933,,,1.3,28.2,,82.6,,85.2,87.5,76.1,93.7,85.8,,,,,57.23285193,16.40813032,,,963989,54,1835214,,,,,
Piura,2011,881,4.9,871,4.8,489,108,28,0.16,122,324,1933,,,1.3,28.2,,77.7,,79.3,84.8,76.8,89.8,84.3,53.9,17.8,,,,,,,919608,51.1,1545097,,,,,
Piura,2012,948,5.2,975,5.4,607,130,36,0.2,182,333,2041,,,1.4,28.9,,81.6,,92,87.7,89.1,98.9,88.7,55.1,20.2,,,,,,,765568,42.2,1443536,,,,,
Puno,2001,413,3.4,611,4.9,,0.7,21,0.18,85,310,951,0.8,8.3,1.3,23.3,232.9,20.5,86.8,27.8,93.3,83,78.6,100,,,,,,24.2,61.4,,,,,,,,,
Puno,2002,430,3.4,619,4.9,,0.7,21,0.18,85,310,951,0.83,8.3,1.3,23.3,232.9,20.5,86.8,27.8,84.4,86.2,80.6,91.1,,,,,,24.2,61.4,,,,,,,,,
Puno,2003,435,3.4,692,5.4,244,75,15,0.12,90,343,949,,,0.2,18.8,,20.5,86.8,27.8,88.2,88.3,77.9,89.9,,,,,,24.2,61.4,38.6,,,,36.2,,,18.2,
Puno,2004,431,3.3,595,4.6,231,50,15,0.12,91,349,1156,,,0.3,17.8,,20.5,86.8,27.8,87.7,87.8,88.3,83.5,,,,,,24.2,61.4,29.2,482090,37.2,453301,36.2,,,18.2,
Puno,2005,465,3.5,656,5,255,73,15,0.11,83,352,1163,,,0.6,15.5,,20.5,86.8,27.8,86.1,86.2,84.2,88,,,,,,24.2,61.4,29.23895982,482090,36.7,453301,36.2,,,,
Puno,2006,465,3.7,656,5.3,255,73,15,0.12,83,352,1163,,,0.6,15.5,,45.8,,,78.4,72.7,77.9,54.9,0.143613385,7.017259028,0.120344381,1.179464819,,,,,564976,45.4,472993,36.2,22,158,,12.03626766
Puno,2007,465,3.7,656,5.3,255,73,15,0.12,83,352,1163,,,0.6,15.5,,45.8,,,88.6,89.4,77.9,95.3,,,,,43.8,23.9,71.2,,512425,41.1,548479,36.2,22,158,,12
Puno,2008,431,3.2,661,4.9,254,74,15,0.11,83,354,780,,,0.4,28.1,,41.3,,,94.3,92.4,97.3,87.7,,,,,43.54083142,24.61293212,70.60889615,,464995,34.5,919759,,9,274,,3.787185852
Puno,2009,618,4.6,927,6.9,391,134,19,0.14,107,358,761,,,1,33.5,,60.3,,59.3,49,48.9,51,47.5,,,,,43.3,25.1,68.5,,506391,37.8,1116919,,29,809,,54.6
Puno,2010,637,4.7,1205,8.8,451,140,18,0.13,131,384,1435,,,1,32.7,,69.6,,69,54.9,76,94.9,78.6,,,,,24.69328687,47.83325844,,,597387,43.8,1340718,,,,,
Puno,2011,637,4.6,1205,8.8,451,140,18,0.13,131,384,1435,,,1,32.7,,73.7,,71,75.6,87.7,95.5,82.5,25.6,49.5,,,,,,,623477,45.3,1321506,,,,,
Puno,2012,758,5.5,1276,9.2,490,174,19,0.14,158,357,1372,,,0.9,30.2,,68.1,,62.7,79.5,86,94.8,85.5,24.1,48.7,,,,,,,598754,43.1,1260063,,,,,
San Martin,2001,331,4.3,187,2.5,,0.6,18,0.25,60,285,1025,1.6,15.9,2.2,33.6,335.7,45.8,83.3,48.4,92.8,86.5,69.1,88.8,,,,,,57.5,72.5,,,,,,,,,
San Martin,2002,326,4.3,189,2.5,,0.6,18,0.25,60,285,1025,1.59,15.9,2.2,33.6,335.7,45.8,83.3,48.4,82.7,83.1,79,91.9,,,,,,57.5,72.5,,,,,,,,,
San Martin,2003,230,3,176,2.3,196,33,15,0.2,46,290,519,,,0.4,20.5,,45.8,83.3,48.4,70.4,68.9,67,69.5,,,,,,57.5,72.5,44.6,,,,47.8,,,20.1,
