depa,year,MED,MEDTASA,ENF,EFNTASA,OBST,ODON,HOSPN,HOSPTASA,CENTRON,PUESTON,CAMAN,CAMATASA,CAMATASA2,CONSLTASA,EGRESTASA,EGRESTASA2,PARTOSSPORC,ATPRENPORC,ATPARTOPORC,DPT,OPV,BCG,ASO,ACMODPARADOLES,ACMODPARADULT,ACNATPARADOLES,ACNATPARADULT,ACTRAD,ACMOD,ACTOTAL,SEGUROPORC,SISAFILIACN,SISFILIAPORC,SISATENCN,GENEROAFP,COMSALUDN,ESCSALUDN,BUSQAYUDAVIOLEN,GESTFESO4
Apurimac,2004,171,3.6,245,5.1,126,49,8,0.17,38,198,618,,,0.7,26.2,,49.3,89.8,55.2,86.9,86.7,91.5,87.2,,,,,,47.6,63.9,52.1,297370,62.2,400796,46.9,,,32.4,
Apurimac,2005,162,3.3,250,5.1,136,47,8,0.16,34,202,618,,,0.9,37.5,,49.3,89.8,55.2,78.6,78.6,83.5,78.3,,,,,,47.6,63.9,52.11405632,297370,61.2,400796,46.9,,,,
Apurimac,2006,162,3.9,250,6,136,47,8,0.19,34,202,618,,,0.9,37.5,,81.7,,,84.7,84.7,76,70.9,1.332289188,12.59003786,0.232924711,0.971338233,,,,,359751,85.9,516017,46.9,26,60,,35.29327429
Apurimac,2007,162,3.9,250,6,136,47,8,0.19,34,202,618,,,0.9,37.5,,81.7,,,90.3,90.3,84,93.4,,,,,28.6,42.7,73.5,,338866,80.9,706610,46.9,26,60,,35.3
Apurimac,2008,231,5.2,361,8.1,137,46,9,0.2,35,219,356,,,0.9,49,,86.7,,,100,100,88,100,,,,,26.93973367,45.36965879,73.92455925,,305817,68.3,1110123,,11,158,,15.77714637
Apurimac,2009,332,7.5,571,12.9,261,99,9,0.2,54,271,318,,,1.4,44.2,,95.4,,90.2,64.8,64.8,75.8,62.8,,,,,27.9,49.7,77.5,,297181,66.9,1137344,,35,239,,91.6
Apurimac,2010,349,7.8,684,15.2,299,115,6,0.13,57,278,619,,,1.8,58.5,,94.2,,97.2,89.6,86.9,97.8,96.5,,,,,48.05389174,28.39935989,,,315079,70.1,1300193,,,,,
Apurimac,2011,349,7.7,684,15.1,299,115,6,0.13,57,278,619,,,1.8,58.5,,93.3,,96.7,90.5,90.5,99,97.1,49.2,30,,,,,,,380017,84.1,1225129,,,,,
Apurimac,2012,434,9.6,848,18.7,396,174,10,0.22,68,313,677,,,1.9,59.5,,97.8,,91.8,91.8,96.3,100,91.6,51.2,25.9,,,,,,,339672,74.8,1199415,,,,,
Arequipa,2001,1583,14.5,1501,13.8,,2.2,18,0.17,90,205,2270,2.3,22.7,2.7,60.9,609,79.4,89.2,77.6,96.8,97.7,91.3,90.6,,,,,,57.6,75.4,,,,,,,,,
Arequipa,2002,1596,14.5,1519,13.8,,2.2,18,0.17,90,205,2270,2.27,22.7,2.6,60.9,609,79.4,89.2,77.6,94,94.4,93.2,95.5,,,,,,57.6,75.4,,,,,,,,,
