year,ubigeo,distrito,poptot,new_casos,tbpfp,morbi,tbp_new,mdr,xdr,incidencia,tasa_tbpfp,tasa_morbi,tasa_tbp_new
2012,150113,Jesus Maria,71364,38,24,42,,4,0,53.2,33.6,58.9,0
2004,150114,La Molina,120194,63,40,72,53,0,0,52.4,33.3,59.9,44.1
2005,150114,La Molina,124473,62,37,63,48,0,0,49.8,29.7,50.6,38.6
2006,150114,La Molina,128908,58,34,66,47,0,0,45,26.4,51.2,36.5
2007,150114,La Molina,133516,39,25,44,31,0,0,29.2,18.7,33,23.2
2011,150114,La Molina,153853,52,29,54,,2,1,33.8,18.8,35.1,0
2012,150114,La Molina,157638,50,32,72,,3,0,31.7,20.3,45.7,0
2004,150115,La Victoria,215444,567,356,724,456,0,0,263.2,165.2,336.1,211.7
2005,150115,La Victoria,212546,412,246,527,344,0,0,193.8,115.7,247.9,161.8
2006,150115,La Victoria,209719,617,412,773,513,0,0,294.2,196.5,368.6,244.6
2007,150115,La Victoria,206953,540,355,687,441,0,0,260.9,171.5,332,213.1
2011,150115,La Victoria,196471,450,305,593,,44,10,229,155.2,301.8,0
2012,150115,La Victoria,182552,426,288,554,,52,1,233.4,157.8,303.5,0
2004,150116,Lince,61108,98,53,116,83,0,0,160.4,86.7,189.8,135.8
2005,150116,Lince,60430,5,4,5,5,0,0,8.3,6.6,8.3,8.3
2006,150116,Lince,59768,97,54,100,84,0,0,162.3,90.3,167.3,140.5
2007,150116,Lince,59120,70,39,83,58,0,0,118.4,66,140.4,98.1
2011,150116,Lince,56661,64,33,71,,5,0,113,58.2,125.3,0
2012,150116,Lince,52961,80,36,86,,2,2,151.1,68,162.4,0
2004,150117,Los Olivos,306027,563,275,648,471,0,0,184,89.9,211.7,153.9
2005,150117,Los Olivos,312619,588,288,663,469,0,0,188.1,92.1,212.1,150
2006,150117,Los Olivos,319372,503,262,587,406,0,0,157.5,82,183.8,127.1
2007,150117,Los Olivos,326310,507,254,589,407,0,0,155.4,77.8,180.5,124.7
2011,150117,Los Olivos,356041,462,234,500,,23,2,129.8,65.7,140.4,0
2012,150117,Los Olivos,355101,418,240,450,,28,0,117.7,67.6,126.7,0
2004,150118,Lurigancho,153767,271,166,285,233,0,0,176.2,108,185.3,151.5
2005,150118,Lurigancho,159205,301,161,331,236,0,0,189.1,101.1,207.9,148.2
2006,150118,Lurigancho,164839,369,210,420,321,0,0,223.9,127.4,254.8,194.7
2007,150118,Lurigancho,170692,316,206,373,277,0,0,185.1,120.7,218.5,162.3
2011,150118,Lurigancho,196504,262,136,289,,17,0,133.3,69.2,147.1,0
2012,150118,Lurigancho,201248,270,172,306,,16,1,134.2,85.5,152.1,0
2004,150119,Lurin,55721,51,36,64,40,0,0,91.5,64.6,114.9,71.8
2005,150119,Lurin,58030,59,41,68,52,0,0,101.7,70.7,117.2,89.6
2006,150119,Lurin,60436,51,27,68,37,0,0,84.4,44.7,112.5,61.2
2007,150119,Lurin,62948,47,28,51,42,0,0,74.7,44.5,81,66.7
2011,150119,Lurin,74178,54,37,63,,3,0,72.8,49.9,84.9,0
2012,150119,Lurin,76874,54,37,63,,5,0,70.2,48.1,82,0
2004,150120,Magdalena del Mar,53401,63,41,78,50,0,0,118,76.8,146.1,93.6
2005,150120,Magdalena del Mar,53432,45,22,55,30,0,0,84.2,41.2,102.9,56.1
2006,150120,Magdalena del Mar,53468,57,37,63,47,0,0,106.6,69.2,117.8,87.9
2007,150120,Magdalena del Mar,53511,24,14,31,18,0,0,44.9,26.2,57.9,33.6
2011,150120,Magdalena del Mar,53747,35,22,45,,2,0,65.1,40.9,83.7,0
2012,150120,Magdalena del Mar,54386,28,18,30,,2,0,51.5,33.1,55.2,0
2004,150121,Pueblo Libre,78833,65,36,67,54,0,0,82.5,45.7,85,68.5
2005,150121,Pueblo Libre,78685,60,33,68,45,0,0,76.3,41.9,86.4,57.2
2006,150121,Pueblo Libre,78548,54,24,67,40,0,0,68.7,30.6,85.3,50.9
2007,150121,Pueblo Libre,78419,57,24,71,42,0,0,72.7,30.6,90.5,53.6
2011,150121,Pueblo Libre,77999,59,37,65,,5,1,75.6,47.4,83.3,0
2012,150121,Pueblo Libre,77038,40,26,48,,6,0,51.9,33.7,62.3,0
2004,150122,Miraflores,91114,24,17,31,18,0,0,26.3,18.7,34,19.8
2005,150122,Miraflores,90783,38,19,42,25,0,0,41.9,20.9,46.3,27.5
2006,150122,Miraflores,90464,25,14,30,20,0,0,27.6,15.5,33.2,22.1
2007,150122,Miraflores,90157,25,14,34,18,0,0,27.7,15.5,37.7,20
2011,150122,Miraflores,89040,22,16,23,,1,0,24.7,18,25.8,0
2012,150122,Miraflores,84473,24,10,28,,2,0,28.4,11.8,33.1,0
2004,150123,Pachacamac,50124,115,63,117,94,0,0,229.4,125.7,233.4,187.5
2005,150123,Pachacamac,54560,100,53,112,79,0,0,183.3,97.1,205.3,144.8
2006,150123,Pachacamac,59383,84,38,101,57,0,0,141.5,64,170.1,96
2007,150123,Pachacamac,64640,90,45,102,68,0,0,139.2,69.6,157.8,105.2
2011,150123,Pachacamac,90885,75,38,85,,3,0,82.5,41.8,93.5,0
2012,150123,Pachacamac,102691,75,38,85,,2,0,73,37,82.8,0
2004,150124,Pucusana,8562,8,7,8,7,0,0,93.4,81.8,93.4,81.8
2005,150124,Pucusana,9116,8,5,10,7,0,0,87.8,54.8,109.7,76.8
2006,150124,Pucusana,9706,14,11,15,13,0,0,144.2,113.3,154.5,133.9
2007,150124,Pucusana,10336,7,3,9,6,0,0,67.7,29,87.1,58
2011,150124,Pucusana,13318,7,4,7,,1,0,52.6,30,52.6,0
2012,150124,Pucusana,14403,7,4,7,,0,0,48.6,27.8,48.6,0
2004,150125,Puente Piedra,194069,306,201,337,280,0,0,157.7,103.6,173.6,144.3
2005,150125,Puente Piedra,205147,279,187,307,251,0,0,136,91.2,149.6,122.4
2006,150125,Puente Piedra,216851,304,174,333,247,0,0,140.2,80.2,153.6,113.9
2007,150125,Puente Piedra,229250,359,184,407,289,0,0,156.6,80.3,177.5,126.1
2011,150125,Puente Piedra,286743,403,232,437,,17,0,140.5,80.9,152.4,0
2012,150125,Puente Piedra,305537,400,242,416,,18,0,130.9,79.2,136.2,0
2004,150126,Punta Hermosa,5171,3,1,3,3,0,0,58,19.3,58,58
2005,150126,Punta Hermosa,5369,5,1,5,5,0,0,93.1,18.6,93.1,93.1
2006,150126,Punta Hermosa,5574,1,1,2,1,0,0,17.9,17.9,35.9,17.9
2007,150126,Punta Hermosa,5788,2,1,3,2,0,0,34.6,17.3,51.8,34.6
2011,150126,Punta Hermosa,6740,1,0,1,,0,0,14.8,0,14.8,0
2012,150126,Punta Hermosa,6935,1,0,1,,1,0,14.4,0,14.4,0
2004,150127,Punta Negra,4413,5,3,5,4,0,0,113.3,68,113.3,90.6
2005,150127,Punta Negra,4659,10,8,10,10,0,0,214.6,171.7,214.6,214.6
2006,150127,Punta Negra,4918,3,2,3,2,0,0,61,40.7,61,40.7
2007,150127,Punta Negra,5193,7,5,8,5,0,0,134.8,96.3,154.1,96.3
2011,150127,Punta Negra,6463,6,5,6,,0,0,92.8,77.4,92.8,0
2012,150127,Punta Negra,6878,6,5,6,,1,0,87.2,72.7,87.2,0
2004,150128,Rimac,191668,262,155,322,235,0,0,136.7,80.9,168,122.6
2005,150128,Rimac,190277,273,134,333,237,0,0,143.5,70.4,175,124.6
2006,150128,Rimac,188923,219,115,266,177,0,0,115.9,60.9,140.8,93.7
2007,150128,Rimac,187601,204,108,258,160,0,0,108.7,57.6,137.5,85.3
2011,150128,Rimac,182617,294,175,339,,18,5,161,95.8,185.6,0
2012,150128,Rimac,171921,240,170,294,,11,3,139.6,98.9,171,0
2004,150129,San Bartolo,5209,4,3,5,3,0,0,76.8,57.6,96,57.6
2005,150129,San Bartolo,5409,15,15,17,15,0,0,277.3,277.3,314.3,277.3
2006,150129,San Bartolo,5617,9,6,12,6,0,0,160.2,106.8,213.6,106.8
2007,150129,San Bartolo,5834,5,3,6,5,0,0,85.7,51.4,102.8,85.7
2011,150129,San Bartolo,6800,9,6,11,,0,0,132.4,88.2,161.8,0
2012,150129,San Bartolo,7008,9,6,11,,0,0,128.4,85.6,157,0
2004,150130,San Borja,110063,58,39,65,44,0,0,52.7,35.4,59.1,40
2005,150130,San Borja,110231,65,45,70,56,0,0,59,40.8,63.5,50.8
2006,150130,San Borja,110412,56,35,66,43,0,0,50.7,31.7,59.8,38.9
2007,150130,San Borja,110608,48,21,56,35,0,0,43.4,19,50.6,31.6
2011,150130,San Borja,111528,24,9,27,,0,0,21.5,8.1,24.2,0
2012,150130,San Borja,111568,20,14,20,,2,1,17.9,12.5,17.9,0
2004,150131,San Isidro,63280,7,2,9,4,0,0,11.1,3.2,14.2,6.3
2005,150131,San Isidro,62795,12,7,12,8,0,0,19.1,11.1,19.1,12.7
2006,150131,San Isidro,62322,13,7,13,11,0,0,20.9,11.2,20.9,17.7
2007,150131,San Isidro,61860,21,13,25,18,0,0,33.9,21,40.4,29.1
2011,150131,San Isidro,60115,13,6,15,,0,0,21.6,10,25,0
2012,150131,San Isidro,56570,16,6,18,,0,0,28.3,10.6,31.8,0
2004,150132,San Juan de Lurigancho,838813,1902,1145,2207,1602,0,0,226.7,136.5,263.1,191
2005,150132,San Juan de Lurigancho,862880,1932,1186,2261,1614,0,0,223.9,137.4,262,187
2006,150132,San Juan de Lurigancho,887672,1748,1045,1985,1436,0,0,196.9,117.7,223.6,161.8
2007,150132,San Juan de Lurigancho,913283,1762,1098,2044,1457,0,0,192.9,120.2,223.8,159.5
2011,150132,San Juan de Lurigancho,1024601,1945,1314,2126,,125,5,189.8,128.2,207.5,0
2012,150132,San Juan de Lurigancho,1025930,2090,1424,2276,,136,5,203.7,138.8,221.8,0
2004,150133,San Juan de Miraflores,357995,620,384,721,496,0,0,173.2,107.3,201.4,138.5
2005,150133,San Juan de Miraflores,363506,645,369,745,512,0,0,177.4,101.5,204.9,140.9
2006,150133,San Juan de Miraflores,369129,612,354,761,495,0,0,165.8,95.9,206.2,134.1
2007,150133,San Juan de Miraflores,374884,481,267,574,381,0,0,128.3,71.2,153.1,101.6
2011,150133,San Juan de Miraflores,399296,579,374,603,,36,3,145,93.7,151,0
2012,150133,San Juan de Miraflores,393493,579,374,603,,39,1,147.1,95,153.2,0
2004,150134,San Luis,56193,77,56,94,65,0,0,137,99.7,167.3,115.7
2005,150134,San Luis,56517,78,49,98,64,0,0,138,86.7,173.4,113.2
2006,150134,San Luis,56848,94,60,110,79,0,0,165.4,105.5,193.5,139
2007,150134,San Luis,57189,91,59,103,74,0,0,159.1,103.2,180.1,129.4
2011,150134,San Luis,58641,73,50,88,,6,1,124.5,85.3,150.1,0
2012,150134,San Luis,57368,64,34,76,,2,0,111.6,59.3,132.5,0
2004,150135,San Martin de Porres,542870,678,367,815,567,0,0,124.9,67.6,150.1,104.4
2005,150135,San Martin de Porres,558015,713,371,858,586,0,0,127.8,66.5,153.8,105
2006,150135,San Martin de Porres,573606,580,286,719,450,0,0,101.1,49.9,125.3,78.5
2007,150135,San Martin de Porres,589701,673,354,785,558,0,0,114.1,60,133.1,94.6
2011,150135,San Martin de Porres,659543,768,418,857,,57,3,116.4,63.4,129.9,0
2012,150135,San Martin de Porres,659612,682,412,756,,54,2,103.4,62.5,114.6,0
2004,150136,San Miguel,133449,129,73,161,107,0,0,96.7,54.7,120.6,80.2
2005,150136,San Miguel,134067,102,66,128,87,0,0,76.1,49.2,95.5,64.9
2006,150136,San Miguel,134702,101,49,111,83,0,0,75,36.4,82.4,61.6
2007,150136,San Miguel,135355,85,40,110,65,0,0,62.8,29.6,81.3,48
2011,150136,San Miguel,138164,89,47,91,,8,1,64.4,34,65.9,0
2012,150136,San Miguel,135086,86,56,92,,4,0,63.7,41.5,68.1,0
2004,150137,Santa Anita,171827,424,279,471,356,0,0,246.8,162.4,274.1,207.2
2005,150137,Santa Anita,176879,440,265,509,370,0,0,248.8,149.8,287.8,209.2
2006,150137,Santa Anita,182087,435,252,510,348,0,0,238.9,138.4,280.1,191.1
2007,150137,Santa Anita,187470,408,246,504,338,0,0,217.6,131.2,268.8,180.3
2011,150137,Santa Anita,210905,429,258,476,,26,4,203.4,122.3,225.7,0
2012,150137,Santa Anita,213561,446,296,498,,38,4,208.8,138.6,233.2,0
