CLUSTER             DATASET             CATEGORY            OBSERVED            EXPECTED            ODE                 REL_RISK            
1                   1                   1                   375                 1106.74             0.34                0.33                
2                   1                   1                   292                 905.05              0.32                0.32                
3                   1                   1                   463                 1043.52             0.44                0.44                
4                   1                   1                   1869                1150.25             1.62                1.65                
5                   1                   1                   97                  405.57              0.24                0.24                
6                   1                   1                   1157                645.76              1.79                1.81                
7                   1                   1                   146                 274.61              0.53                0.53                
8                   1                   1                   157                 271.86              0.58                0.58                
9                   1                   1                   586                 772.58              0.76                0.76                
10                  1                   1                   423                 583.32              0.73                0.72                
11                  1                   1                   685                 518.56              1.32                1.33                
12                  1                   1                   1397                1187.24             1.18                1.18                
13                  1                   1                   847                 999.10              0.85                0.84                
14                  1                   1                   147                 208.44              0.71                0.70                
15                  1                   1                   481                 579.44              0.83                0.83                
16                  1                   1                   725                 670.05              1.08                1.08                
17                  1                   1                   850                 907.01              0.94                0.94                
