CLUSTER             LOC_ID                          LATITUDE            LONGITUDE           RADIUS              START_DATE        END_DATE          NUMBER_LOC          LLR                 P_VALUE             RECURR_INT          OBSERVED            EXPECTED            ODE                 REL_RISK            GINI_CLUST
1                   150141                          -12.113550          -77.013100          2.85                2006/1/1          2007/12/31        4                   331.695663          0.0001000           3652500             375                 1106.74             0.34                0.33                F 
2                   150140                          -12.125450          -76.984180          0                   2006/1/1          2007/12/31        1                   286.784014          0.0001000           3652500             292                 905.05              0.32                0.32                F 
3                   150136                          -12.076290          -77.091020          4.61                2006/1/1          2007/12/31        4                   207.919767          0.0001000           3652500             463                 1043.52             0.44                0.44                F 
4                   150111                          -12.039430          -76.987450          2.65                2006/1/1          2007/12/31        2                   194.165463          0.0001000           3652500             1869                1150.25             1.62                1.65                F 
5                   150114                          -12.087970          -76.925570          0                   2006/1/1          2007/12/31        1                   170.819024          0.0001000           3652500             97                  405.57              0.24                0.24                F 
6                   150115                          -12.072220          -77.017140          0                   2006/1/1          2007/12/31        1                   166.297513          0.0001000           3652500             1157                645.76              1.79                1.81                F 
7                   150124                          -12.466230          -76.775020          26.02               2006/1/1          2007/12/31        6                   36.549734           0.0001000           3652500             146                 274.61              0.53                0.53                F 
8                   150105                          -12.058960          -77.050430          0                   2006/1/1          2007/12/31        1                   28.803067           0.0001000           3652500             157                 271.86              0.58                0.58                F 
9                   150102                          -11.701260          -77.098290          16.90               2006/1/1          2007/12/31        3                   24.977306           0.0001000           3652500             586                 772.58              0.76                0.76                F 
10                  150128                          -12.023350          -77.032660          0                   2006/1/1          2007/12/31        1                   24.659940           0.0001000           3652500             423                 583.32              0.73                0.72                F 
11                  150118                          -11.958580          -76.801470          0                   2006/1/1          2007/12/31        1                   24.538045           0.0001000           3652500             685                 518.56              1.32                1.33                F 
12                  150142                          -12.218040          -76.944630          0                   2006/1/1          2007/12/31        1                   18.007005           0.0001000           3652500             1397                1187.24             1.18                1.18                F 
13                  150101                          -12.051280          -77.048650          0                   2006/1/1          2007/12/31        1                   12.465256           0.0003000           1217500             847                 999.10              0.85                0.84                F 
14                  150109                          -12.076310          -76.778170          9.49                2006/1/1          2007/12/31        2                   10.145006           0.001500            243500              147                 208.44              0.71                0.70                F 
15                  150133                          -12.160690          -76.969070          0                   2007/1/1          2007/12/31        1                   8.983957            0.003300            110682              481                 579.44              0.83                0.83                F 
16                  150112                          -11.987330          -77.046070          0                   2006/1/1          2007/12/31        1                   2.226628            0.9587              381                 725                 670.05              1.08                1.08                F 
17                  150108                          -12.192950          -77.008170          0                   2006/1/1          2007/12/31        1                   1.865701            0.9911              369                 850                 907.01              0.94                0.94                F 
