CLUSTER             LOC_ID                          LATITUDE            LONGITUDE           RADIUS              START_DATE        END_DATE          NUMBER_LOC          LLR                 P_VALUE             RECURR_INT          OBSERVED            EXPECTED            ODE                 REL_RISK            GINI_CLUST
1                   150122                          -12.120440          -77.030010          5.11                2006/1/1          2007/12/31        9                   688.483664          0.0001000           3652500             1045                2692.18             0.39                0.37                F 
2                   150111                          -12.039430          -76.987450          4.87                2006/1/1          2007/12/31        4                   343.303895          0.0001000           3652500             3211                1972.55             1.63                1.67                F 
3                   150103                          -12.032490          -76.878400          8.02                2006/1/1          2007/12/31        2                   180.130340          0.0001000           3652500             1115                1859.02             0.60                0.59                F 
4                   150135                          -11.993530          -77.088530          0                   2006/1/1          2007/12/31        1                   95.955315           0.0001000           3652500             1253                1798.59             0.70                0.69                F 
5                   150132                          -11.945640          -76.971620          0                   2006/1/1          2007/12/31        1                   93.257382           0.0001000           3652500             3510                2784.34             1.26                1.28                F 
6                   150124                          -12.466230          -76.775020          26.02               2006/1/1          2007/12/31        6                   36.549734           0.0001000           3652500             146                 274.61              0.53                0.53                F 
7                   150102                          -11.701260          -77.098290          16.90               2006/1/1          2007/12/31        3                   24.977306           0.0001000           3652500             586                 772.58              0.76                0.76                F 
8                   150142                          -12.218040          -76.944630          0                   2006/1/1          2007/12/31        1                   18.007005           0.0001000           3652500             1397                1187.24             1.18                1.18                F 
