CLUSTER             DATASET             CATEGORY            OBSERVED            EXPECTED            ODE                 REL_RISK            
1                   1                   1                   1045                2692.18             0.39                0.37                
2                   1                   1                   3211                1972.55             1.63                1.67                
3                   1                   1                   1115                1859.02             0.60                0.59                
4                   1                   1                   1253                1798.59             0.70                0.69                
5                   1                   1                   3510                2784.34             1.26                1.28                
6                   1                   1                   146                 274.61              0.53                0.53                
7                   1                   1                   586                 772.58              0.76                0.76                
8                   1                   1                   1397                1187.24             1.18                1.18                
