LOC_ID                          CLUSTER             P_VALUE             RECURR_INT          CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              GINI_CLUST
150141                          1                   0.0001000           3652500             712                 2125.62             0.33                0.32                187                 292.36              0.64                0.64                F 
150122                          1                   0.0001000           3652500             712                 2125.62             0.33                0.32                50                  279.76              0.18                0.18                F 
150130                          1                   0.0001000           3652500             712                 2125.62             0.33                0.32                104                 342.23              0.30                0.30                F 
150131                          1                   0.0001000           3652500             712                 2125.62             0.33                0.32                34                  192.39              0.18                0.18                F 
150140                          1                   0.0001000           3652500             712                 2125.62             0.33                0.32                292                 905.05              0.32                0.32                F 
150104                          1                   0.0001000           3652500             712                 2125.62             0.33                0.32                45                  113.83              0.40                0.39                F 
150111                          2                   0.0001000           3652500             3211                1972.55             1.63                1.67                1026                578.93              1.77                1.79                F 
150137                          2                   0.0001000           3652500             3211                1972.55             1.63                1.67                843                 571.33              1.48                1.48                F 
150134                          2                   0.0001000           3652500             3211                1972.55             1.63                1.67                185                 176.53              1.05                1.05                F 
150115                          2                   0.0001000           3652500             3211                1972.55             1.63                1.67                1157                645.76              1.79                1.81                F 
150121                          3                   0.0001000           3652500             620                 1315.38             0.47                0.46                111                 243.10              0.46                0.46                F 
150113                          3                   0.0001000           3652500             620                 1315.38             0.47                0.46                85                  216.68              0.39                0.39                F 
150120                          3                   0.0001000           3652500             620                 1315.38             0.47                0.46                81                  165.66              0.49                0.49                F 
150105                          3                   0.0001000           3652500             620                 1315.38             0.47                0.46                157                 271.86              0.58                0.58                F 
150136                          3                   0.0001000           3652500             620                 1315.38             0.47                0.46                186                 418.08              0.44                0.44                F 
150103                          4                   0.0001000           3652500             1115                1859.02             0.60                0.59                1018                1453.45             0.70                0.69                F 
150114                          4                   0.0001000           3652500             1115                1859.02             0.60                0.59                97                  405.57              0.24                0.24                F 
150135                          5                   0.0001000           3652500             1253                1798.59             0.70                0.69                1253                1798.59             0.70                0.69                F 
150124                          6                   0.0001000           3652500             146                 274.61              0.53                0.53                21                  30.93               0.68                0.68                F 
150138                          6                   0.0001000           3652500             146                 274.61              0.53                0.53                0                   2.19                0                   0                   F 
150129                          6                   0.0001000           3652500             146                 274.61              0.53                0.53                14                  17.69               0.79                0.79                F 
150127                          6                   0.0001000           3652500             146                 274.61              0.53                0.53                10                  15.61               0.64                0.64                F 
150126                          6                   0.0001000           3652500             146                 274.61              0.53                0.53                3                   17.56               0.17                0.17                F 
150119                          6                   0.0001000           3652500             146                 274.61              0.53                0.53                98                  190.63              0.51                0.51                F 
150128                          7                   0.0001000           3652500             1270                1582.42             0.80                0.80                423                 583.32              0.73                0.72                F 
150101                          7                   0.0001000           3652500             1270                1582.42             0.80                0.80                847                 999.10              0.85                0.84                F 
150102                          8                   0.0001000           3652500             586                 772.58              0.76                0.76                73                  102.07              0.72                0.71                F 
150139                          8                   0.0001000           3652500             586                 772.58              0.76                0.76                16                  31.23               0.51                0.51                F 
150106                          8                   0.0001000           3652500             586                 772.58              0.76                0.76                497                 639.29              0.78                0.78                F 
150142                          9                   0.0001000           3652500             1397                1187.24             1.18                1.18                1397                1187.24             1.18                1.18                F 
150143                          10                  0.01770             20636               1046                1177.25             0.89                0.89                565                 597.81              0.95                0.94                F 
150133                          10                  0.01770             20636               1046                1177.25             0.89                0.89                481                 579.44              0.83                0.83                F 
