depa,year,SUPERF,population,DENSITY,POB15T,POB15P,POB64T,POB64P,TBN,NACIM,TBM,DEFUN,CRECDEM,TGF,POBURB,DEPEN,EVNTOT,EVNHOM,EVNMUJ
Amazonas,2001,39249.13,413500,10.53526537,169733,41.04788392,14880,3.598548972,29,12314,6.6,2729,1.8,3.9,39,80.7,67.7,65.2,70.2
Amazonas,2002,39249.13,428095,10.90712074,169978,39.70567281,15449,3.608778425,29,12314,6.6,2825,1.8,3.9,38.98,76.41,67.7,65.2,70.2
Amazonas,2003,39249.13,435556,11.09721413,176317,40.48090257,17105,3.92716436,29,12631,6.6,2874,1.8,3.8,37.2,79.9,67.7,65.2,70.2
Amazonas,2004,39249.13,443025,11.28751134,177052,39.9643361,17778,4.012866091,29,12848,6.6,2923,1.8,3.8,37.2,78.5,67.7,65.2,70.2
Amazonas,2005,39249.13,450538,11.4789296,177691,39.43973649,18466,4.098655385,29,13066,6.6,2973,1.8,3.8,34.83,77.11,67.7,65.2,70.2
Amazonas,2006,39249.13,389700,9.9288825,150593,38.64331537,18563,4.76340775,26.9,13174,6.2,2416,1.7,3.4,38.54,76.7,69.3,66.7,71.8
Amazonas,2007,39249.13,389700,9.9288825,157096,40.3120349,19516,5.007954837,26.9,11438,6.2,2416,1.7,3.4,44,82.9,69.3,66.7,71.8
Amazonas,2008,39249.13,419550,10.68940891,420415,100.2061733,68726,16.38088428,24.95,10467.77,5.99,2513,0.8,3.13,44.15,75.7,69.52,67.42,71.73
Amazonas,2009,39249.13,411043,10.47266525,135049,32.85520006,18170,4.420462093,24.95,10155,5.99,2438,5.9,3.13,37,59.4,69.5,67.4,71.7
Amazonas,2010,39249,415466,10.58539071,135530,32.62120125,19164,4.612651817,22.41,9367,6.05,2529,0.52,2.8,39.7,59.3,70.56,68.3,72.93
Amazonas,2011,39249.13,417508,10.63738228,135318,32.41087596,19688,4.715598264,22.41,9367,6.05,2529,0.49,3.4,41.1,59.05,70.56,68.3,72.93
Amazonas,2012,39249.13,419404,10.68568908,134891,32.16254494,20241,4.826134229,22.41,9367,6.05,2529,0.5,3.3,42.47,58.7,70.56,68.3,72.93
Ancash,2001,35876.92,1077649,30.03738894,376101,34.9001391,60609,5.624187467,23.1,25244,7.1,7651,0.9,2.9,62.3,68.1,70.1,67.6,72.7
Ancash,2002,35876.92,1107828,30.8785704,374346,33.7909856,62295,5.623165329,23.1,25244,7.1,7866,0.9,2.9,62.35,65.06,70.1,67.6,72.7
Ancash,2003,35876.92,1123410,31.31288862,387741,34.51464737,66164,5.889568368,23.1,25951,7.1,7976,0.9,3.4,60.1,67.8,70.1,67.6,72.7
Ancash,2004,35876.92,1139083,31.74974329,387502,34.01876773,68416,6.00623484,23.1,26313,7.1,8087,0.9,3.4,60.1,66.7,70.1,67.6,72.7
Ancash,2005,35876.92,1154523,32.18010353,386924,33.51375417,70700,6.123741147,23.1,26669,7.1,8197,0.9,3.4,62.32,65.67,70.1,67.6,72.7
Ancash,2006,35876.92,1039415,28.97168988,334195,32.15222024,77659,7.471414209,21,25518,6.9,7171,0.8,2.6,60.54,65.63,71.5,68.9,74.1
Ancash,2007,35876.92,1039415,28.97168988,344485,33.14220018,79612,7.659308361,21,24528,6.9,7171,0.8,2.6,65.4,68.9,71.5,68.9,74.1
Ancash,2008,35876.92,1122416,31.28518279,231735,20.64608844,52631,4.68908141,21.93,24614.58,6.08,6824,0.8,2.85,64.22,64.6,72.76,70.24,75.4
Ancash,2009,35876.92,1109849,30.93490188,349253,31.46851509,72909,6.569272036,21.93,24122,6.08,6684,5.8,2.85,56.9,61.4,72.8,70.2,75.4
Ancash,2010,35915,1122792,31.26248086,344745,30.70426223,75836,6.754234088,20.19,22861,6.09,6900,0.58,2.3,58.4,59.9,73.81,71.12,76.64
Ancash,2011,35914.81,1129391,31.4463866,342346,30.31244272,77373,6.850860331,20.19,22861,6.09,6900,0.59,2.7,59.06,59.14,73.81,71.12,76.64
Ancash,2012,35914.81,1135962,31.62934734,339882,29.92019099,78956,6.950584615,20.19,22861,6.09,6900,0.6,2.8,59.74,58.4,73.81,71.12,76.64
Apurimac,2001,20896,429461,20.55230666,180710,42.07832609,20549,4.784834944,27.8,12128,9.3,3994,1,4.2,37.7,88.2,63.7,61.3,66.1
Apurimac,2002,20895.79,463131,22.16384257,178685,38.58195629,20766,4.48382855,27.8,12128,9.3,4307,1,4.2,37.7,75.64,63.7,61.3,66.1
Apurimac,2003,20895.8,470719,22.52696714,190372,40.44281195,30496,6.478599759,27.8,13086,9.3,4377,1,4.2,40.8,88.4,63.7,61.3,66.1
Apurimac,2004,20896,478315,22.89026608,190787,39.88731275,31651,6.617187418,27.8,13297,9.3,4448,1,4.2,40.8,86.9,63.7,61.3,66.1
Apurimac,2005,20895.79,485934,23.25511503,191090,39.32427037,32833,6.756678891,27.8,13509,9.3,4519,1,4.2,36.19,85.46,63.7,61.3,66.1
Apurimac,2006,20895.79,418882,20.04623898,158828,37.91712224,30403,7.258129975,26.5,13837,8.5,3560,1,3.7,38.09,82.4,65.7,63.1,68.1
Apurimac,2007,20896,418882,20.04603752,159758,38.13914181,30281,7.229004827,26.5,11242,8.5,3560,1,3.7,46.9,83,65.7,63.1,68.1
Apurimac,2008,35876.92,447897,12.48426565,344485,76.91165603,79612,17.77462229,25.89,11596.05,7.05,3158,0.4,3.5,45.94,81.9,69.06,66.88,71.35
Apurimac,2009,20896,444202,21.25775268,151823,34.17881955,25070,5.643828709,25.89,11391,7.05,3101,6.1,3.5,52.1,66.2,69.1,66.9,71.4
Apurimac,2010,20896,449365,21.50483346,152001,33.82573187,25788,5.738764701,23.43,10611,6.76,3061,0.57,3.4,36.6,65.5,70.23,67.88,72.7
Apurimac,2011,20895.79,451881,21.62545661,151851,33.60420111,26201,5.798207935,23.43,10611,6.76,3061,0.56,3,56.01,65.02,70.23,67.88,72.7
Apurimac,2012,20895.79,454324,21.74237011,151586,33.36517551,26647,5.865197524,23.43,10611,6.76,3061,0.5,3,38.39,64.6,70.23,67.88,72.7
Arequipa,2001,63345,1091748,17.23495146,309063,28.30900537,59357,5.436877375,19.5,21827,5.8,6332,1.7,2.1,87,50.9,73.1,70.6,75.8
Arequipa,2002,63345.39,1101005,17.38098068,309850,28.14246983,61620,5.596704829,19.5,21827,5.8,6386,1.7,2.1,86.96,50.92,73.1,70.6,75.8
Arequipa,2003,63345.4,1113916,17.584797,328961,29.53193957,60659,5.44556322,19.5,21721,5.8,6460,1.7,2.2,87.3,53.8,73.1,70.6,75.8
Arequipa,2004,63345,1126636,17.78571316,327773,29.09306999,62552,5.552103785,19.5,21969,5.8,6534,1.7,2.2,87.3,53,73.1,70.6,75.8
Arequipa,2005,63345.39,1139599,17.99024365,326461,28.64700653,64487,5.658744874,19.5,22222,5.8,6609,1.7,2.2,90.54,52.22,73.1,70.6,75.8
Arequipa,2006,63345.39,1140810,18.00936106,305558,26.78430238,79971,7.010019197,17.7,21029,5.8,6616,1.5,2,87.24,51.04,74.3,71.7,77
Arequipa,2007,63345,1140810,18.00947194,317582,27.83829034,81179,7.115908872,17.7,20840,5.8,6616,1.5,2,95.1,53.7,74.3,71.7,77
Arequipa,2008,34801.59,1201788,34.53256015,2167880,180.3878887,541820,45.08449078,17.84,21439.9,5.27,6333,1.6,2.07,90.64,51.1,75.38,73.04,77.84
Arequipa,2009,63345,1205317,19.02781593,319017,26.46747702,80370,6.667955401,17.84,21169,5.27,6257,10.4,2.07,87.5,49.6,75.4,73,77.8
Arequipa,2010,63345,1231553,19.44199226,317515,25.78167566,86108,6.99182252,16.85,21113,5.53,6930,1.1,2.2,88.4,48.8,76.27,73.69,78.97
Arequipa,2011,63345.39,1245251,19.65811561,316799,25.44057383,89095,7.154782449,16.85,21113,5.53,6930,1.11,2.3,88.83,48.36,76.27,73.69,78.97
Arequipa,2012,63345.39,1259162,19.87772117,316141,25.10725387,92192,7.321694905,16.85,21113,5.53,6930,1.1,2.5,89.24,48,76.27,73.69,78.97
Ayacucho,2001,43815,522203,11.91836129,211508,40.50302277,28148,5.39024096,26.3,13771,9.7,5065,0.3,3.8,49.6,84.8,63.8,61.4,66.2
Ayacucho,2002,43814.8,550751,12.56997636,208368,37.83343108,28322,5.142432787,26.3,13771,9.7,5342,0.3,3.8,49.63,75.36,63.8,61.4,66.2
Ayacucho,2003,43814.8,561029,12.80455463,213979,38.14045263,37653,6.71141777,26.3,14755,9.7,5441,0.3,4.2,58.1,81.3,63.8,61.4,66.2
Ayacucho,2004,43815,571563,13.04491612,214998,37.61580088,39149,6.849463664,26.3,15032,9.7,5544,0.3,4.2,58.1,80.1,63.8,61.4,66.2
Ayacucho,2005,43814.8,581656,13.27533162,215677,37.07982037,40652,6.989010687,26.3,15298,9.7,5642,0.3,4.2,53.45,78.79,63.8,61.4,66.2
Ayacucho,2006,43814.8,619338,14.13536065,225027,36.33347219,43934,7.093703277,24.5,14726,8.9,5512,0.4,3.3,51.33,76.76,65.7,63.3,68.2
Ayacucho,2007,43815,619338,14.13529613,237192,38.29766622,44674,7.213185692,24.5,15448,8.9,5512,0.4,3.3,62.7,83.5,65.7,63.3,68.2
Ayacucho,2008,63345.39,667336,10.5348787,317582,47.58952012,81179,12.1646367,26.57,17731.12,6.54,4364,1.5,3.73,58.02,76.7,69.64,67.05,72.35
Ayacucho,2009,43815,642972,14.67470045,235466,36.6215014,33907,5.273480027,26.57,16771,6.54,4128,12.3,3.73,48.9,72.1,69.6,67.1,72.4
Ayacucho,2010,43815,658400,15.0268173,233766,35.50516403,34807,5.286603888,23.99,16069,6.15,4120,1.18,2.9,50.8,68.9,70.81,68.1,73.65
Ayacucho,2011,43814.8,666029,15.20100514,232788,34.95163124,35318,5.302772102,23.99,16069,6.15,4120,1.16,3,51.68,67.38,70.81,68.1,73.65
Ayacucho,2012,43814.8,673609,15.37400604,231772,34.40749752,35866,5.3244538,23.99,16069,6.15,4120,1.1,3.1,52.59,65.9,70.81,68.1,73.65
Cajamarca,2001,33318,1429016,42.8902095,570930,39.95266673,61173,4.280777822,27.9,40625,6.6,9432,1.2,3.6,27.7,79.3,68.9,66.4,71.4
Cajamarca,2002,33317.54,1498567,44.97832073,569142,37.97908268,62556,4.174387932,27.9,40625,6.6,9891,1.2,3.6,27.71,72.87,68.9,66.4,71.4
Cajamarca,2003,33317.5,1515827,45.4964208,594829,39.24121948,75464,4.978404528,27.9,42292,6.6,10004,1.2,3.5,27.2,79.3,68.9,66.4,71.4
Cajamarca,2004,33318,1532878,46.00750345,593639,38.72708722,77962,5.085988578,27.9,42767,6.6,10116,1.2,3.5,27.2,78,68.9,66.4,71.4
Cajamarca,2005,33317.54,1550132,46.52600402,592215,38.20416584,80521,5.194460859,27.9,43249,6.6,10230,1.2,3.5,26.35,76.67,68.9,66.4,71.4
Cajamarca,2006,33317.54,1359023,40.79001631,484925,35.68188324,85323,6.278260191,25.7,40646,6.2,8425,1.1,3.2,27.2,72.3,70.4,67.8,73
Cajamarca,2007,33318,1359023,40.78945315,487716,35.88725136,87043,6.404821699,25.7,31606,6.2,8425,1.1,3.2,30.1,73.3,70.4,67.8,73
Cajamarca,2008,44197.23,1485432,33.6091651,375835,25.3013938,72569,4.885380145,23.93,35546.39,5.41,8036,0.7,3.01,32.71,70.6,71.87,69.5,74.35
Cajamarca,2009,33318,1493159,44.81538508,506760,33.93878348,73384,4.914680888,23.93,35404,5.41,7998,5.4,3.01,29.8,63.5,71.9,69.5,74.4
Cajamarca,2010,33318,1507486,45.24539288,498148,33.04495033,76846,5.097626114,21.2,32116,5.39,8164,0.46,3,31.4,61.7,72.94,70.39,75.62
Cajamarca,2011,33317.54,1513892,45.43828866,492783,32.55073678,78728,5.200370964,21.2,32116,5.39,8164,0.42,2.9,32.24,60.65,72.94,70.39,75.62
Cajamarca,2012,33317.54,1519764,45.61453217,486934,32.04010623,80716,5.311087774,21.2,32116,5.39,8164,0.4,3,33.08,59.6,72.94,70.39,75.62
Cusco,2001,72104,1171868,16.25246866,434833,37.10597098,51740,4.41517304,25.9,30866,9.7,11367,1.2,3.4,48.6,71,62.3,60,64.6
Cusco,2002,72104.41,1208689,16.76303849,431962,35.73806,52993,4.384337079,25.9,30866,9.7,11724,1.2,3.4,48.64,67.01,62.3,60,64.6
Cusco,2003,72104.4,1223248,16.96495637,449175,36.71986384,62862,5.138941572,25.9,31682,9.7,11865,1.2,4,48.2,72,62.3,60,64.6
Cusco,2004,72104,1237802,17.16689781,448231,36.21184971,64932,5.245750128,25.9,32059,9.7,12006,1.2,4,48.2,70.8,62.3,60,64.6
Cusco,2005,72104.41,1252201,17.36649672,446988,35.69618616,67041,5.353852936,25.9,32432,9.7,12146,1.2,4,49.46,69.64,62.3,60,64.6
Cusco,2006,72104.41,1171503,16.24731414,410461,35.03712752,69811,5.959096989,24,30662,9,10543,1.1,3,49.11,69.48,64.3,61.9,66.7
Cusco,2007,72104,1171503,16.24740652,420415,35.88680524,68726,5.866480922,24,28287,9,10543,1.1,3,54.7,71.7,64.3,61.9,66.7
Cusco,2008,20895.79,1241433,59.41067555,159758,12.86883787,30281,2.439197282,22.13,27472.91,6.79,8429,0.9,2.84,55.04,68.3,69.17,66.78,71.68
Cusco,2009,71987,1265827,17.58410546,396394,31.31502172,71401,5.640660217,22.5,28159,6.9,8639,7.2,2.9,50.3,58.6,69.2,66.8,71.7
Cusco,2010,71987,1283540,17.83016378,392367,30.56912913,75373,5.872275114,19.79,26139,6.75,8917,0.69,3,52.1,57.3,70.31,67.76,72.99
Cusco,2011,71986.5,1292175,17.95024067,389848,30.16990733,77500,5.997639639,19.79,26139,6.75,8917,0.67,3,52.94,56.66,70.31,67.76,72.99
Cusco,2012,71986.5,1300609,18.06740153,387109,29.76367225,79735,6.130589593,19.79,26139,6.75,8917,0.7,2.3,53.81,56,70.31,67.76,72.99
Huancavelica,2001,22131,433727,19.59816547,195553,45.08665589,18349,4.230541331,32.4,14253,11.3,4901,1,4.6,29.8,97.3,59.1,57,61.3
Huancavelica,2002,22131.47,443213,20.02636969,194858,43.96486565,18472,4.167747787,32.4,14253,11.3,5008,1,4.6,29.77,92.8,59.1,57,61.3
Huancavelica,2003,22131.5,451508,20.40114769,186831,41.37933326,25451,5.63688794,32.4,14629,11.3,5102,1,6.1,27,88.7,59.1,57,61.3
Huancavelica,2004,22131,459988,20.78478153,187837,40.8351957,26477,5.756019722,32.4,14904,11.3,5197,1,6.1,27,87.2,59.1,57,61.3
Huancavelica,2005,22131.47,468161,21.15363327,188574,40.27973283,27518,5.877892434,32.4,15168,11.3,5290,1,6.1,28.17,85.73,59.1,57,61.3
Huancavelica,2006,22131.47,447054,20.19992346,181767,40.65884658,28822,6.447095877,30.2,12553,10,4470,0.9,4,28.67,89.06,61.4,59.1,63.7
Huancavelica,2007,22131,447054,20.20035245,190003,42.50112962,28328,6.336594684,30.2,15097,10,4470,0.9,4,31.8,95.5,61.4,59.1,63.7
Huancavelica,2008,43814.8,487014,11.11528525,237192,48.7033227,44674,9.173042253,31.09,15141.27,6.23,3034,1.2,4.55,31.67,85.2,68.59,66.54,70.75
Huancavelica,2009,22131,471720,21.31489765,194659,41.26579327,20047,4.249766811,31.09,14477,6.23,2902,8.6,4.55,80.1,83.5,68.6,66.5,70.8
Huancavelica,2010,22131,479641,21.67281189,192803,40.19735594,20530,4.28028463,28.98,14067,5.83,2828,0.83,3.3,21.1,80.1,69.79,67.56,72.14
Huancavelica,2011,22131.47,483580,21.85033348,191991,39.70201414,20817,4.304768601,28.98,14067,5.83,2828,0.82,3.2,21.62,78.59,69.79,67.56,72.14
Huancavelica,2012,22131.47,487472,22.02619166,191199,39.22256048,21133,4.335223356,28.98,14067,5.83,2828,0.8,3.1,22.19,77.2,69.79,67.56,72.14
Huanuco,2001,36887,791484,21.45699027,318010,40.17895498,29451,3.720984884,29,23576,7,5540,1.8,3.7,40.6,78.3,66.9,64.4,69.4
Huanuco,2002,36886.74,811865,22.00967068,319652,39.37255578,30517,3.758876168,29,23576,7,5683,1.8,3.7,40.63,75.84,66.9,64.4,69.4
Huanuco,2003,36886.7,822804,22.3062513,325863,39.60396401,32393,3.936903564,29,23861,7,5759,1.8,4.3,42,77.1,66.9,64.4,69.4
Huanuco,2004,36887,833640,22.59983192,325936,39.09793196,33529,4.021999904,29,24176,7,5835,1.8,4.3,42,75.8,66.9,64.4,69.4
Huanuco,2005,36886.74,844649,22.89844535,325892,38.58312743,34692,4.107268226,29,24495,7,5912,1.8,4.3,39.29,74.49,66.9,64.4,69.4
Huanuco,2006,36886.74,730871,19.81392229,275412,37.68271008,38119,5.215557875,26.7,22101,6.5,4750,1.7,3.3,41.76,75.13,68.5,66,71.1
Huanuco,2007,36887,730871,19.81378263,281707,38.54401119,39418,5.393291019,26.7,20046,6.5,4750,1.7,3.3,43.9,78.4,68.5,66,71.1
Huanuco,2008,22131.47,812312,36.70393336,190003,23.39039679,28328,3.487329991,25.76,20925.16,5.98,4858,1.1,3.26,42.5,74.9,70.32,67.96,72.8
Huanuco,2009,36849,819578,22.24152623,281004,34.28642545,39793,4.855303583,25.76,20803,5.98,4832,9.3,3.26,36,64.3,70.3,68,72.8
